triplet_id,language,category,flattening,cos_gap__E5-large,cos_gap__E5-multi,cos_gap__LaBSE,cos_gap__MiniLM-multi,cos_gap__TF-IDF,cos_gap__bge-m3,sim_anchor_far__E5-large,sim_anchor_far__E5-multi,sim_anchor_far__LaBSE,sim_anchor_far__MiniLM-multi,sim_anchor_far__TF-IDF,sim_anchor_far__bge-m3,sim_anchor_near__E5-large,sim_anchor_near__E5-multi,sim_anchor_near__LaBSE,sim_anchor_near__MiniLM-multi,sim_anchor_near__TF-IDF,sim_anchor_near__bge-m3
es_ser2_066,spanish,ser_vs_estar,partial,-0.003198564052581787,-0.008210897445678711,-0.02703249454498291,-0.013449430465698242,-0.013050276992491061,-0.013035833835601807,0.9945212602615356,0.9956755638122559,0.9962413311004639,0.9985153675079346,0.9780474660860596,0.992689847946167,0.9913226962089539,0.9874646663665771,0.969208836555481,0.9850659370422363,0.9649971890935686,0.9796540141105652
es_ser2_067,spanish,ser_vs_estar,partial,-0.0161016583442688,-0.01666659116744995,-0.11151015758514404,-0.023085057735443115,-0.27090485245041585,-0.024868488311767578,0.9894440770149231,0.9962741136550903,0.9963818192481995,0.9946384429931641,0.941386465296896,0.9715635776519775,0.9733424186706543,0.9796075224876404,0.8848716616630554,0.971553385257721,0.6704816128464801,0.94669508934021
es_ser2_068,spanish,ser_vs_estar,partial,-0.0017472505569458008,-0.014491736888885498,-0.06988215446472168,-0.028409838676452637,-0.014470465454457404,-0.0009485483169555664,0.9963144063949585,0.9962623119354248,0.9939779043197632,0.9966379404067993,0.9753525384990565,0.9887901544570923,0.9945671558380127,0.9817705750465393,0.9240957498550415,0.9682281017303467,0.960882073044599,0.9878416061401367
es_ser2_069,spanish,ser_vs_estar,partial,-0.0344005823135376,-0.027552902698516846,-0.12851768732070923,-0.043398261070251465,-0.3817354540003971,-0.057265639305114746,0.9887758493423462,0.9939541220664978,0.9710875153541565,0.9453972578048706,0.9551170610731948,0.980057954788208,0.9543752670288086,0.966401219367981,0.8425698280334473,0.9019989967346191,0.5733816070727977,0.9227923154830933
es_ser2_070,spanish,ser_vs_estar,partial,-0.02761751413345337,-0.010272800922393799,-0.09767311811447144,-0.03206592798233032,0.03966456237758398,-0.03833889961242676,0.997954785823822,0.9956817030906677,0.9977139830589294,0.9984190464019775,0.9396167006532656,0.9939128756523132,0.9703372716903687,0.9854089021682739,0.900040864944458,0.9663531184196472,0.9792812630308496,0.9555739760398865
es_ser2_071,spanish,ser_vs_estar,partial,-0.02274954319000244,-0.034140050411224365,-0.1332351565361023,-0.14533895254135132,-0.1673611475517054,-0.08635592460632324,0.9987004399299622,0.9986134171485901,0.9969995617866516,0.9983713030815125,0.964930355833149,0.9983130693435669,0.9759508967399597,0.9644733667373657,0.8637644052505493,0.8530323505401611,0.7975692082814436,0.9119571447372437
es_ser2_072,spanish,ser_vs_estar,partial,-0.007554173469543457,-0.0052831172943115234,-0.046035587787628174,-0.021976351737976074,-0.013839029273744141,-0.012424051761627197,0.9836928248405457,0.996406078338623,0.9981902241706848,0.9997649192810059,0.9774100092750462,0.9954578280448914,0.9761386513710022,0.9911229610443115,0.9521546363830566,0.9777885675430298,0.963570980001302,0.9830337762832642
es_ser2_073,spanish,ser_vs_estar,partial,-0.004508018493652344,-0.007321655750274658,-0.021959424018859863,-0.01064687967300415,-0.1095469306217044,-0.007474184036254883,0.998214602470398,0.9991446733474731,0.9977195262908936,0.999377965927124,0.9797178188300557,0.9978560209274292,0.9937065839767456,0.9918230175971985,0.9757601022720337,0.9887310862541199,0.8701708882083513,0.9903818368911743
es_ser2_074,spanish,ser_vs_estar,partial,-0.0012430548667907715,-0.007262468338012695,-0.05549120903015137,-0.027218878269195557,-0.027217501403062117,-0.012143373489379883,0.9930621385574341,0.9966038465499878,0.9927222728729248,0.9948984980583191,0.947066526101274,0.9946046471595764,0.9918190836906433,0.9893413782119751,0.9372310638427734,0.9676796197891235,0.9198490246982118,0.9824612736701965
es_ser2_075,spanish,ser_vs_estar,partial,-0.015921831130981445,-0.0046427249908447266,-0.05411982536315918,-0.016156911849975586,-0.016788836996407208,-0.006096303462982178,0.9972522258758545,0.9952548742294312,0.9978319406509399,0.9975953102111816,0.9707912328262024,0.9960740804672241,0.981330394744873,0.9906121492385864,0.9437121152877808,0.981438398361206,0.9540023958297952,0.9899777770042419
es_ser2_076,spanish,ser_vs_estar,partial,-0.01929694414138794,-0.018796920776367188,-0.11951631307601929,-0.07728910446166992,-0.35567026404837176,-0.06031745672225952,0.9877921938896179,0.9957211017608643,0.9965182542800903,0.9913908839225769,0.9505762090536315,0.9873005747795105,0.96849524974823,0.9769241809844971,0.877001941204071,0.914101779460907,0.5949059450052597,0.926983118057251
