triplet_id,language,category,flattening,model,condition,sim_anchor_near,sim_anchor_far,cos_gap,correct
hi_kin2_011,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9959859251976013,0.9806197881698608,0.015366137027740479,1
hi_kin2_012,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9635613560676575,0.9825335741043091,-0.01897221803665161,0
hi_kin2_013,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9948047399520874,0.9463796615600586,0.04842507839202881,1
hi_kin2_014,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9812108874320984,0.9143816232681274,0.06682926416397095,1
hi_kin2_015,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9208277463912964,0.9279195666313171,-0.007091820240020752,0
hi_kin2_016,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.962027907371521,0.9258493185043335,0.0361785888671875,1
hi_kin2_017,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9843149185180664,0.9836751222610474,0.000639796257019043,1
hi_kin2_018,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9821068644523621,0.9831127524375916,-0.0010058879852294922,0
hi_kin2_019,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9103189706802368,0.9544902443885803,-0.044171273708343506,0
hi_kin2_020,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.917212963104248,0.8951401710510254,0.022072792053222656,1
hi_kin2_021,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9547653198242188,0.9461390376091003,0.008626282215118408,1
hi_kin2_022,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9760168790817261,0.9320709109306335,0.04394596815109253,1
hi_kin2_023,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9912692904472351,0.920176088809967,0.07109320163726807,1
hi_kin2_024,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9938405752182007,0.9210708737373352,0.07276970148086548,1
hi_kin2_026,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.8713695406913757,0.9020848870277405,-0.030715346336364746,0
hi_kin2_027,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9685451984405518,0.8533208966255188,0.11522430181503296,1
hi_kin2_028,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9948960542678833,0.9400782585144043,0.054817795753479004,1
hi_kin2_029,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9905710220336914,0.8860771656036377,0.10449385643005371,1
hi_kin2_030,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.8616039156913757,0.9399490356445312,-0.07834511995315552,0
hi_kin2_031,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9552379846572876,0.9309898614883423,0.024248123168945312,1
hi_kin2_032,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9862121343612671,0.9413444995880127,0.044867634773254395,1
hi_kin2_033,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.8751540184020996,0.8362138867378235,0.03894013166427612,1
hi_kin2_034,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9936172962188721,0.9541248679161072,0.03949242830276489,1
hi_kin2_035,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9977148175239563,0.9835675954818726,0.01414722204208374,1
hi_kin2_036,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.912661612033844,0.9123740196228027,0.00028759241104125977,1
hi_kin2_037,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.8919944763183594,0.90680992603302,-0.014815449714660645,0
hi_kin2_038,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9340470433235168,0.9231696128845215,0.010877430438995361,1
hi_kin2_041,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9658393859863281,0.9251317977905273,0.04070758819580078,1
hi_kin2_042,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9601494073867798,0.9483615159988403,0.011787891387939453,1
hi_kin2_043,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9941681623458862,0.9475055932998657,0.04666256904602051,1
hi_kin2_044,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.8898282051086426,0.9160876870155334,-0.02625948190689087,0
hi_kin2_046,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9902520179748535,0.9093085527420044,0.08094346523284912,1
hi_kin2_047,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.902334988117218,0.9127885103225708,-0.010453522205352783,0
hi_kin2_048,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.8646458983421326,0.9235125184059143,-0.05886662006378174,0
hi_kin2_049,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9646672606468201,0.8132336139678955,0.15143364667892456,1
hi_kin2_050,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9838076233863831,0.8822811245918274,0.10152649879455566,1
hi_kin2_051,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9899760484695435,0.9175764322280884,0.07239961624145508,1
hi_kin2_052,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9977747201919556,0.9602847099304199,0.037490010261535645,1
hi_kin2_054,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9855970740318298,0.9394876956939697,0.04610937833786011,1
hi_kin2_055,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9323751330375671,0.9045570492744446,0.02781808376312256,1
hi_kin2_056,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9584362506866455,0.8761334419250488,0.08230280876159668,1
hi_kin2_057,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9841145873069763,0.8287062048912048,0.15540838241577148,1
hi_kin2_058,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9896714091300964,0.8927742838859558,0.09689712524414062,1
hi_kin2_059,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9699796438217163,0.8503220677375793,0.11965757608413696,1
hi_kin2_060,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9814572334289551,0.9483031630516052,0.033154070377349854,1
hi_kin2_062,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9861361980438232,0.9201984405517578,0.06593775749206543,1
hi_kin2_063,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.972960352897644,0.9263224601745605,0.046637892723083496,1
hi_kin2_064,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9574118852615356,0.9099252223968506,0.04748666286468506,1
hi_kin2_065,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9919372200965881,0.9375942945480347,0.05434292554855347,1
hi_kin2_066,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9359750747680664,0.8982767462730408,0.037698328495025635,1
hi_kin2_067,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9580721855163574,0.9614400863647461,-0.003367900848388672,0
hi_kin2_068,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9893231391906738,0.9312979578971863,0.05802518129348755,1
hi_kin2_070,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9880205392837524,0.9310694336891174,0.05695110559463501,1
hi_kin2_071,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9046689867973328,0.9223131537437439,-0.017644166946411133,0
hi_kin2_072,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9956501722335815,0.9324617981910706,0.06318837404251099,1
hi_kin2_073,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.952243983745575,0.9486072063446045,0.003636777400970459,1
hi_kin2_074,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9945453405380249,0.8455590009689331,0.1489863395690918,1
hi_kin2_075,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9171265363693237,0.8750250935554504,0.04210144281387329,1
hi_kin2_076,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9783017039299011,0.9297027587890625,0.04859894514083862,1
hi_kin2_077,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9775519371032715,0.8571947813034058,0.12035715579986572,1
hi_kin2_079,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.992536187171936,0.8792320489883423,0.11330413818359375,1
hi_kin2_080,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.971189022064209,0.9180673360824585,0.05312168598175049,1
hi_kin2_081,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9308094382286072,0.8267471194267273,0.10406231880187988,1
hi_kin2_082,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9947832226753235,0.9401389360427856,0.05464428663253784,1
hi_kin2_083,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.8356032967567444,0.8592961430549622,-0.023692846298217773,0
hi_kin2_084,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9492959380149841,0.9388099908828735,0.010485947132110596,1
